category,link,price,time,title
procesadores amd,https://www.gezatek.com.ar/tienda/procesadores-amd/1281-micro-amd-a6-7480-dualcore-fm2y.html,4199.00,2020-11-3 2:12,Micro AMD A6 7480 DualCore FM2+
coolers cpu,https://www.gezatek.com.ar/tienda/coolers-cpu/1724-cooler-cpu-deep-cool-ice-edge-mini-fs-v20-intelamd.html,2419.00,2020-11-3 2:12,Cooler CPU Deep Cool Ice Edge Mini FS V2.0 Intel/AMD
coolers cpu,https://www.gezatek.com.ar/tienda/coolers-cpu/1723-cooler-cpu-deep-cool-gamma-archer-120mm-intelamd.html,1839.00,2020-11-3 2:12,Cooler CPU Deep Cool Gamma Archer 120mm Intel/AMD
notebooks,https://www.gezatek.com.ar/tienda/notebooks/2276-notebook-lenovo-s340-amd-ryzen-7-3700u--8gb-dual-channel--512gb-nvme--14--81nb00f8ar.html,129999.00,2020-11-3 2:12,Notebook Lenovo S340 AMD Ryzen 7 3700U | 8GB Dual Channel | 512GB NVME | 14 | 81NB00F8AR
pc xtreme gamer,https://www.gezatek.com.ar/tienda/pc-xtreme-gamer/1994-pc-gamer-ryzen-master--amd-ryzen-5-3600-y-8gb-y-rx5700xt-8gb.html,128799.00,2020-11-3 2:12,PC Gamer Ryzen Master | AMD Ryzen 5 3600 + 8GB + RX5700XT 8Gb
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1080-pc-gamer-armada--amd-ryzen-7-3700x-y-8gb-y-gtx1660-super-6gb.html,100399.00,2020-11-3 2:12,PC Gamer Armada | AMD Ryzen 7 3700X + 8GB + GTX1660 SUPER 6Gb
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1072-pc-gamer-armada--amd-ryzen-7-3700x-y-8gb-y-rx5500xt-4gb.html,98299.00,2020-11-3 2:12,PC Gamer Armada | AMD Ryzen 7 3700X + 8GB + RX5500XT 4Gb
procesadores amd,https://www.gezatek.com.ar/tienda/procesadores-amd/2208-micro-amd-ryzen-9-3950x---16-nucleos--32-threads-47ghz-am4.html,94999.00,2020-11-3 2:12,Micro AMD Ryzen 9 3950X - 16 NÃºcleos / 32 Threads 4.7Ghz AM4
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/2270-pc-gamer-nvidia-spire--amd-ryzen-5-2600-y-8gb-y-gtx1660-super-6gb.html,92899.00,2020-11-3 2:12,PC Gamer NVIDIA Spire | AMD Ryzen 5 2600 + 8GB + GTX1660 SUPER 6Gb
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1763-pc-gamer-armada--amd-ryzen-7-3700x-y-8gb-y-gtx1650-super-4gb.html,91399.00,2020-11-3 2:12,PC Gamer Armada | AMD Ryzen 7 3700X + 8GB + GTX1650 SUPER 4Gb
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1076-pc-gamer-armada--amd-ryzen-7-3700x-y-8gb-y-gtx1650-4gb.html,89899.00,2020-11-3 2:12,PC Gamer Armada | AMD Ryzen 7 3700X + 8GB + GTX1650 4Gb
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1078-pc-gamer-armada--amd-ryzen-7-3700x-y-8gb-y-rx570-4gb.html,89399.00,2020-11-3 2:12,PC Gamer Armada | AMD Ryzen 7 3700X + 8GB + RX570 4Gb
notebooks,https://www.gezatek.com.ar/tienda/notebooks/2450-notebook-lenovo-v145-amd-a9-9425--8gb--1tb--156--81mt0001ar.html,83899.00,2020-11-3 2:12,Notebook Lenovo V145 AMD A9 9425 | 8GB | 1TB | 15.6 | 81MT0001AR
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1996-pc-gamer-ryzen-nitro--amd-ryzen-5-2600-y-8gb-y-rx5500xt-4gb.html,82999.00,2020-11-3 2:12,PC Gamer Ryzen Nitro | AMD Ryzen 5 2600 + 8GB + RX5500XT 4Gb
combos amd,https://www.gezatek.com.ar/tienda/combos-amd/2002-combo-actualizacion-pc-amd-ryzen-9-3900xt-y-asus-b550m-a-y-corsair-16gb-2x8gb-ddr4-3000mhz.html,82499.00,2020-11-3 2:12,Combo ActualizaciÃ³n PC AMD Ryzen 9 3900XT + ASUS B550M-A + Corsair 16Gb (2x8GB) DDR4 3000Mhz
pc elite gamer,https://www.gezatek.com.ar/tienda/pc-elite-gamer/1079-pc-gamer-armada--amd-ryzen-5-2600-y-8gb-y-gtx1660-super-6gb.html,79599.00,2020-11-3 2:12,PC Gamer Armada | AMD Ryzen 5 2600 + 8GB + GTX1660 SUPER 6Gb
notebooks,https://www.gezatek.com.ar/tienda/notebooks/2337-notebook-msi-alpha-15-a3ddk--amd-ryzen-7-3750h--8gb-ddr4--rx5500m-4gb--ssd-512gb--156-fhd-144hz--win10.html,212499.00,2020-11-3 2:12,Notebook MSI ALPHA 15 A3DDK | AMD Ryzen 7 3750H | 8GB DDR4 | RX5500M 4Gb | SSD 512Gb | 15.6 FHD 144HZ | Win10
notebooks,https://www.gezatek.com.ar/tienda/notebooks/2379-notebook-asus-zenbook-um431d-amd-ryzen-5-3500u--8gb-ddr4--ssd-512gb-nvme--14-fhd.html,148699.00,2020-11-3 2:12,Notebook ASUS ZenBook UM431D AMD Ryzen 5 3500U | 8GB DDR4 | SSD 512Gb NVME | 14 FHD
notebooks,https://www.gezatek.com.ar/tienda/notebooks/2328-notebook-asus-tuf-fx505dt-amd-ryzen-5-3550h--8gb-ddr4--gtx1650-4gb--ssd-512gb--156-fhd.html,143399.00,2020-11-3 2:12,Notebook ASUS TUF FX505DT AMD Ryzen 5 3550H | 8GB DDR4 | GTX1650 4Gb | SSD 512Gb | 15.6 FHD
notebooks,https://www.gezatek.com.ar/tienda/notebooks/2340-notebook-lenovo-v330-amd-ryzen-3-pro-2200u--8gb-dual-channel--1tb--14--81b1004nar.html,92999.00,2020-11-3 2:12,Notebook Lenovo V330 AMD Ryzen 3 Pro 2200U | 8GB Dual Channel | 1TB | 14 | 81B1004NAR
notebooks,https://www.gezatek.com.ar/tienda/notebooks/1942-notebook-lenovo-s145-amd-a9-9425--8gb--win10--1tb--156--81n30003ar.html,88199.00,2020-11-3 2:12,Notebook Lenovo S145 AMD A9 9425 | 8GB | Win10 | 1TB | 15.6 | 81N30003AR
notebooks,https://www.gezatek.com.ar/tienda/notebooks/1913-notebook-dell-inspiron-5575-amd-ryzen-3-2200u--4gb--1tb--radeon-vega-3--win10--156.html,82699.00,2020-11-3 2:13,Notebook Dell Inspiron 5575 AMD Ryzen 3 2200U | 4GB | 1TB | Radeon VEGA 3 | Win10 | 15.6
